"","feature","statistic","pvalue","outliers","nonoutliers"
"1","objCell_AreaShape_MaximumRadius_diffs_min",0,2.77458954361287e-05,6,297
"2","objCell_AreaShape_MinorAxisLength_diffs_min",0,2.77535809963709e-05,6,297
"3","objCell_AreaShape_Compactness_diffs_min",0,0.000127106201282977,5,298
"4","objCell_AreaShape_Area_diffs_min",0,0.000597497756611784,4,299
"5","objCell_AreaShape_Perimeter_diffs_min",0,0.000597749885874043,4,299
"6","objCell_AreaShape_Solidity_max",0,0.000597771104000177,4,299
"7","objCell_AreaShape_MinorAxisLength_diffs_var",1196,0.000597771920092386,4,299
"8","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_min",0,0.000597771920092386,4,299
"9","objCell_AreaShape_MeanRadius_diffs_min",0,0.000597771920092386,4,299
"10","objCell_AreaShape_MedianRadius_diffs_mean",0,0.00283082164661446,3,300
"11","objCell_AreaShape_MinFeretDiameter_diffs_min",0,0.00291155227608281,3,300
"12","objCell_AreaShape_MedianRadius_var",900,0.00291191205751764,3,300
"13","objNuc_Intensity_MeanIntensity_imNucCorrBg_var",900,0.00291191815573936,3,300
"14","objCell_AreaShape_Compactness_var",900,0.00291191815573936,3,300
"15","objCell_AreaShape_Eccentricity_var",900,0.00291191815573936,3,300
"16","objCell_AreaShape_Perimeter_var",900,0.00291191815573936,3,300
"17","objCell_AreaShape_Area_diffs_var",900,0.00291191815573936,3,300
"18","objCell_AreaShape_MeanRadius_diffs_var",900,0.00291191815573936,3,300
"19","objCell_AreaShape_MinFeretDiameter_diffs_var",900,0.00291191815573936,3,300
"20","objCell_AreaShape_Solidity_mean",0,0.00291191815573936,3,300
"21","objCell_AreaShape_Compactness_diffs_mean",0,0.00291191815573936,3,300
"22","objCell_AreaShape_MeanRadius_diffs_mean",0,0.00291191815573936,3,300
"23","objCell_AreaShape_Eccentricity_diffs_min",0,0.00291191815573936,3,300
"24","objCell_AreaShape_Extent_diffs_min",0,0.00291191815573936,3,300
"25","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_min",0,0.00291191815573936,3,300
"26","objCell_AreaShape_MedianRadius_diffs_min",0,0.0141779366306595,2,301
"27","objCell_AreaShape_MaximumRadius_diffs_mean",0,0.0149583518936672,2,301
"28","objCell_AreaShape_MaximumRadius_diffs_max",602,0.0149594145560854,2,301
"29","objCell_AreaShape_MedianRadius_diffs_var",602,0.0149608567932748,2,301
"30","objCell_AreaShape_FormFactor_var",602,0.0149608784815133,2,301
"31","objCell_AreaShape_MajorAxisLength_var",602,0.0149608784815133,2,301
"32","objCell_AreaShape_MaxFeretDiameter_var",602,0.0149608784815133,2,301
"33","objCell_AreaShape_MaximumRadius_var",602,0.0149608784815133,2,301
"34","objCell_AreaShape_MeanRadius_var",602,0.0149608784815133,2,301
"35","objCell_AreaShape_MinFeretDiameter_var",602,0.0149608784815133,2,301
"36","objCell_AreaShape_Solidity_var",602,0.0149608784815133,2,301
"37","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_var",602,0.0149608784815133,2,301
"38","objCell_AreaShape_Compactness_diffs_var",602,0.0149608784815133,2,301
"39","objCell_AreaShape_MajorAxisLength_diffs_var",602,0.0149608784815133,2,301
"40","objCell_AreaShape_MaximumRadius_diffs_var",602,0.0149608784815133,2,301
"41","objCell_AreaShape_Orientation_diffs_var",602,0.0149608784815133,2,301
"42","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_var",602,0.0149608784815133,2,301
"43","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_mean",0,0.0149608784815133,2,301
"44","objCell_AreaShape_FormFactor_diffs_min",0,0.0149608784815133,2,301
"45","objCell_AreaShape_MajorAxisLength_diffs_min",0,0.0149608784815133,2,301
"46","objCell_AreaShape_MaxFeretDiameter_diffs_min",0,0.0149608784815133,2,301
"47","objCell_AreaShape_Solidity_diffs_min",0,0.0149608784815133,2,301
"48","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_max",602,0.0149608784815133,2,301
"49","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_max",602,0.0149608784815133,2,301
"50","objCell_AreaShape_Area_diffs_max",302,0.0853111284991801,1,302
"51","objCell_AreaShape_Area_diffs_mean",0,0.0853166879513253,1,302
"52","objCell_AreaShape_Perimeter_diffs_mean",0,0.0853182378585015,1,302
"53","objCell_AreaShape_MinFeretDiameter_diffs_mean",0,0.0853183726330243,1,302
"54","objCell_AreaShape_Extent_max",0,0.0853184063266546,1,302
"55","objCell_AreaShape_Area_var",302,0.0853184400202848,1,302
"56","objCell_AreaShape_Extent_var",302,0.0853184400202848,1,302
"57","objCell_AreaShape_MinorAxisLength_var",302,0.0853184400202848,1,302
"58","objCell_Intensity_MeanIntensity_imErkCorrOrig_var",302,0.0853184400202848,1,302
"59","objCell_AreaShape_Eccentricity_diffs_var",302,0.0853184400202848,1,302
"60","objCell_AreaShape_Extent_diffs_var",302,0.0853184400202848,1,302
"61","objCell_AreaShape_FormFactor_diffs_var",302,0.0853184400202848,1,302
"62","objCell_AreaShape_MaxFeretDiameter_diffs_var",302,0.0853184400202848,1,302
"63","objCell_AreaShape_Perimeter_diffs_var",302,0.0853184400202848,1,302
"64","objCell_AreaShape_Solidity_diffs_var",302,0.0853184400202848,1,302
"65","objCell_Intensity_MeanIntensity_imErkCorrOrig_mean",302,0.0853184400202848,1,302
"66","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_mean",302,0.0853184400202848,1,302
"67","objCell_AreaShape_FormFactor_diffs_mean",0,0.0853184400202848,1,302
"68","objCell_AreaShape_Solidity_diffs_mean",0,0.0853184400202848,1,302
"69","objCell_AreaShape_Compactness_min",302,0.0853184400202848,1,302
"70","objCell_AreaShape_Solidity_min",0,0.0853184400202848,1,302
"71","objCell_AreaShape_Eccentricity_max",0,0.0853184400202848,1,302
"72","objCell_Intensity_MeanIntensity_imErkCorrOrig_max",302,0.0853184400202848,1,302
"73","objCell_AreaShape_Compactness_diffs_max",302,0.0853184400202848,1,302
"74","objCell_AreaShape_Eccentricity_diffs_max",302,0.0853184400202848,1,302
"75","objCell_AreaShape_FormFactor_diffs_max",302,0.0853184400202848,1,302
"76","objCell_AreaShape_MaxFeretDiameter_diffs_max",302,0.0853184400202848,1,302
"77","objCell_AreaShape_MeanRadius_diffs_max",302,0.0853184400202848,1,302
"78","objCell_AreaShape_MinorAxisLength_diffs_max",302,0.0853184400202848,1,302
"79","objCell_AreaShape_Orientation_var",NA,NA,0,303
"80","objNuc_Intensity_MeanIntensity_imNucCorrBg_mean",NA,NA,0,303
"81","objCell_AreaShape_Area_mean",NA,NA,0,303
"82","objCell_AreaShape_Compactness_mean",NA,NA,0,303
"83","objCell_AreaShape_Eccentricity_mean",NA,NA,0,303
"84","objCell_AreaShape_Extent_mean",NA,NA,0,303
"85","objCell_AreaShape_FormFactor_mean",NA,NA,0,303
"86","objCell_AreaShape_MajorAxisLength_mean",NA,NA,0,303
"87","objCell_AreaShape_MaxFeretDiameter_mean",NA,NA,0,303
"88","objCell_AreaShape_MaximumRadius_mean",NA,NA,0,303
"89","objCell_AreaShape_MeanRadius_mean",NA,NA,0,303
"90","objCell_AreaShape_MedianRadius_mean",NA,NA,0,303
"91","objCell_AreaShape_MinFeretDiameter_mean",NA,NA,0,303
"92","objCell_AreaShape_MinorAxisLength_mean",NA,NA,0,303
"93","objCell_AreaShape_Orientation_mean",NA,NA,0,303
"94","objCell_AreaShape_Perimeter_mean",NA,NA,0,303
"95","objCell_AreaShape_Eccentricity_diffs_mean",NA,NA,0,303
"96","objCell_AreaShape_Extent_diffs_mean",NA,NA,0,303
"97","objCell_AreaShape_MajorAxisLength_diffs_mean",NA,NA,0,303
"98","objCell_AreaShape_MaxFeretDiameter_diffs_mean",NA,NA,0,303
"99","objCell_AreaShape_MinorAxisLength_diffs_mean",NA,NA,0,303
"100","objCell_AreaShape_Orientation_diffs_mean",NA,NA,0,303
"101","objNuc_Intensity_MeanIntensity_imNucCorrBg_min",NA,NA,0,303
"102","objCell_AreaShape_Area_min",NA,NA,0,303
"103","objCell_AreaShape_Eccentricity_min",NA,NA,0,303
"104","objCell_AreaShape_Extent_min",NA,NA,0,303
"105","objCell_AreaShape_FormFactor_min",NA,NA,0,303
"106","objCell_AreaShape_MajorAxisLength_min",NA,NA,0,303
"107","objCell_AreaShape_MaxFeretDiameter_min",NA,NA,0,303
"108","objCell_AreaShape_MaximumRadius_min",NA,NA,0,303
"109","objCell_AreaShape_MeanRadius_min",NA,NA,0,303
"110","objCell_AreaShape_MedianRadius_min",NA,NA,0,303
"111","objCell_AreaShape_MinFeretDiameter_min",NA,NA,0,303
"112","objCell_AreaShape_MinorAxisLength_min",NA,NA,0,303
"113","objCell_AreaShape_Orientation_min",NA,NA,0,303
"114","objCell_AreaShape_Perimeter_min",NA,NA,0,303
"115","objCell_Intensity_MeanIntensity_imErkCorrOrig_min",NA,NA,0,303
"116","objCell_AreaShape_Orientation_diffs_min",NA,NA,0,303
"117","objNuc_Intensity_MeanIntensity_imNucCorrBg_max",NA,NA,0,303
"118","objCell_AreaShape_Area_max",NA,NA,0,303
"119","objCell_AreaShape_Compactness_max",NA,NA,0,303
"120","objCell_AreaShape_FormFactor_max",NA,NA,0,303
"121","objCell_AreaShape_MajorAxisLength_max",NA,NA,0,303
"122","objCell_AreaShape_MaxFeretDiameter_max",NA,NA,0,303
"123","objCell_AreaShape_MaximumRadius_max",NA,NA,0,303
"124","objCell_AreaShape_MeanRadius_max",NA,NA,0,303
"125","objCell_AreaShape_MedianRadius_max",NA,NA,0,303
"126","objCell_AreaShape_MinFeretDiameter_max",NA,NA,0,303
"127","objCell_AreaShape_MinorAxisLength_max",NA,NA,0,303
"128","objCell_AreaShape_Orientation_max",NA,NA,0,303
"129","objCell_AreaShape_Perimeter_max",NA,NA,0,303
"130","objCell_AreaShape_Extent_diffs_max",NA,NA,0,303
"131","objCell_AreaShape_MajorAxisLength_diffs_max",NA,NA,0,303
"132","objCell_AreaShape_MedianRadius_diffs_max",NA,NA,0,303
"133","objCell_AreaShape_MinFeretDiameter_diffs_max",NA,NA,0,303
"134","objCell_AreaShape_Orientation_diffs_max",NA,NA,0,303
"135","objCell_AreaShape_Perimeter_diffs_max",NA,NA,0,303
"136","objCell_AreaShape_Solidity_diffs_max",NA,NA,0,303
