"","feature","statistic","pvalue","outliers","nonoutliers"
"1","objCell_AreaShape_Compactness_diffs_min",0,0.000605740853482431,4,268
"2","objCell_AreaShape_Eccentricity_var",540,0.0150371652023959,2,270
"3","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_mean",0,0.0150371652023959,2,270
"4","objCell_AreaShape_Eccentricity_diffs_min",0,0.0150371652023959,2,270
"5","objCell_AreaShape_MaximumRadius_diffs_min",0,0.0855490126644427,1,271
"6","objCell_AreaShape_Perimeter_diffs_mean",0,0.0855546101726096,1,271
"7","objCell_AreaShape_Compactness_var",271,0.0855548900479026,1,271
"8","objCell_AreaShape_Extent_var",271,0.0855548900479026,1,271
"9","objCell_AreaShape_MajorAxisLength_var",271,0.0855548900479026,1,271
"10","objCell_AreaShape_Perimeter_var",271,0.0855548900479026,1,271
"11","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_var",271,0.0855548900479026,1,271
"12","objCell_AreaShape_Compactness_diffs_var",271,0.0855548900479026,1,271
"13","objCell_AreaShape_Eccentricity_diffs_var",271,0.0855548900479026,1,271
"14","objCell_AreaShape_MinFeretDiameter_diffs_var",271,0.0855548900479026,1,271
"15","objCell_AreaShape_MinorAxisLength_diffs_var",271,0.0855548900479026,1,271
"16","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_var",271,0.0855548900479026,1,271
"17","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_mean",271,0.0855548900479026,1,271
"18","objCell_AreaShape_Compactness_min",271,0.0855548900479026,1,271
"19","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_min",0,0.0855548900479026,1,271
"20","objCell_AreaShape_Extent_diffs_min",0,0.0855548900479026,1,271
"21","objCell_AreaShape_MinorAxisLength_diffs_min",0,0.0855548900479026,1,271
"22","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_min",0,0.0855548900479026,1,271
"23","objCell_AreaShape_Eccentricity_max",0,0.0855548900479026,1,271
"24","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_max",271,0.0855548900479026,1,271
"25","objNuc_Intensity_MeanIntensity_imNucCorrBg_var",NA,NA,0,272
"26","objCell_AreaShape_Area_var",NA,NA,0,272
"27","objCell_AreaShape_FormFactor_var",NA,NA,0,272
"28","objCell_AreaShape_MaxFeretDiameter_var",NA,NA,0,272
"29","objCell_AreaShape_MaximumRadius_var",NA,NA,0,272
"30","objCell_AreaShape_MeanRadius_var",NA,NA,0,272
"31","objCell_AreaShape_MedianRadius_var",NA,NA,0,272
"32","objCell_AreaShape_MinFeretDiameter_var",NA,NA,0,272
"33","objCell_AreaShape_MinorAxisLength_var",NA,NA,0,272
"34","objCell_AreaShape_Orientation_var",NA,NA,0,272
"35","objCell_AreaShape_Solidity_var",NA,NA,0,272
"36","objCell_Intensity_MeanIntensity_imErkCorrOrig_var",NA,NA,0,272
"37","objCell_AreaShape_Area_diffs_var",NA,NA,0,272
"38","objCell_AreaShape_Extent_diffs_var",NA,NA,0,272
"39","objCell_AreaShape_FormFactor_diffs_var",NA,NA,0,272
"40","objCell_AreaShape_MajorAxisLength_diffs_var",NA,NA,0,272
"41","objCell_AreaShape_MaxFeretDiameter_diffs_var",NA,NA,0,272
"42","objCell_AreaShape_MaximumRadius_diffs_var",NA,NA,0,272
"43","objCell_AreaShape_MeanRadius_diffs_var",NA,NA,0,272
"44","objCell_AreaShape_MedianRadius_diffs_var",NA,NA,0,272
"45","objCell_AreaShape_Orientation_diffs_var",NA,NA,0,272
"46","objCell_AreaShape_Perimeter_diffs_var",NA,NA,0,272
"47","objCell_AreaShape_Solidity_diffs_var",NA,NA,0,272
"48","objNuc_Intensity_MeanIntensity_imNucCorrBg_mean",NA,NA,0,272
"49","objCell_AreaShape_Area_mean",NA,NA,0,272
"50","objCell_AreaShape_Compactness_mean",NA,NA,0,272
"51","objCell_AreaShape_Eccentricity_mean",NA,NA,0,272
"52","objCell_AreaShape_Extent_mean",NA,NA,0,272
"53","objCell_AreaShape_FormFactor_mean",NA,NA,0,272
