"","feature","statistic","pvalue","outliers","nonoutliers"
"1","objCell_AreaShape_Area_diffs_min",0,0.000597497756611784,4,299
"2","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_min",0,0.000597771920092386,4,299
"3","objCell_AreaShape_Area_diffs_var",900,0.00291191815573936,3,300
"4","objCell_AreaShape_Eccentricity_diffs_min",0,0.00291191815573936,3,300
"5","objCell_AreaShape_MaximumRadius_diffs_min",0,0.0149593711814669,2,301
"6","objCell_AreaShape_Perimeter_diffs_min",0,0.0149605856914469,2,301
"7","objCell_AreaShape_Solidity_max",0,0.0149608676373923,2,301
"8","objCell_AreaShape_FormFactor_var",602,0.0149608784815133,2,301
"9","objCell_AreaShape_MaximumRadius_var",602,0.0149608784815133,2,301
"10","objCell_AreaShape_MajorAxisLength_diffs_var",602,0.0149608784815133,2,301
"11","objCell_AreaShape_MaximumRadius_diffs_var",602,0.0149608784815133,2,301
"12","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_var",602,0.0149608784815133,2,301
"13","objCell_AreaShape_MinorAxisLength_diffs_min",0,0.0149608784815133,2,301
"14","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_min",0,0.0149608784815133,2,301
"15","objCell_Intensity_MeanIntensity_imErkCorrOrig_diffs_max",602,0.0149608784815133,2,301
"16","objCell_AreaShape_MedianRadius_diffs_min",0,0.0828569901684394,1,302
"17","objCell_AreaShape_MaximumRadius_diffs_mean",0,0.0853105894005834,1,302
"18","objCell_AreaShape_MaximumRadius_diffs_max",302,0.0853138913789147,1,302
"19","objCell_AreaShape_Area_diffs_mean",0,0.0853166879513253,1,302
"20","objCell_AreaShape_MedianRadius_diffs_var",302,0.0853183726330243,1,302
"21","objCell_AreaShape_Area_var",302,0.0853184400202848,1,302
"22","objCell_AreaShape_Compactness_var",302,0.0853184400202848,1,302
"23","objCell_AreaShape_Extent_var",302,0.0853184400202848,1,302
"24","objCell_AreaShape_MeanRadius_var",302,0.0853184400202848,1,302
"25","objCell_AreaShape_MinFeretDiameter_var",302,0.0853184400202848,1,302
"26","objCell_AreaShape_MinorAxisLength_var",302,0.0853184400202848,1,302
"27","objCell_AreaShape_Perimeter_var",302,0.0853184400202848,1,302
"28","objCell_Intensity_MeanIntensity_imErkCorrOrig_var",302,0.0853184400202848,1,302
"29","objNuc_Intensity_MeanIntensity_imNucCorrBg_diffs_var",302,0.0853184400202848,1,302
"30","objCell_AreaShape_Compactness_diffs_var",302,0.0853184400202848,1,302
"31","objCell_AreaShape_Extent_diffs_var",302,0.0853184400202848,1,302
"32","objCell_AreaShape_MaxFeretDiameter_diffs_var",302,0.0853184400202848,1,302
"33","objCell_AreaShape_MeanRadius_diffs_var",302,0.0853184400202848,1,302
